iter	Passed	Remaining
405	6134	8975
406	6152	8963
407	6169	8952
408	6186	8939
409	6204	8928
410	6226	8922
411	6243	8909
412	6257	8893
413	6272	8878
414	6289	8865
415	6305	8851
416	6320	8836
417	6336	8822
418	6353	8810
419	6367	8793
420	6381	8776
421	6393	8756
422	6404	8735
423	6417	8717
424	6431	8701
425	6444	8683
426	6457	8665
427	6467	8643
428	6483	8629
429	6498	8614
430	6511	8596
431	6526	8581
432	6541	8565
433	6558	8553
434	6572	8536
435	6585	8518
436	6600	8503
437	6614	8487
438	6629	8471
439	6645	8457
440	6661	8443
441	6677	8429
442	6692	8414
443	6708	8401
444	6724	8386
445	6736	8368
446	6749	8349
447	6763	8334
448	6779	8319
449	6796	8306
450	6811	8292
451	6829	8279
452	6846	8267
453	6862	8253
454	6878	8239
455	6895	8225
456	6911	8211
457	6926	8196
458	6942	8182
459	6955	8165
460	6969	8148
461	6981	8130
462	6993	8110
463	7008	8095
464	7024	8082
465	7040	8067
466	7057	8054
467	7073	8040
468	7089	8026
469	7104	8011
470	7119	7996
471	7133	7980
472	7145	7961
473	7158	7944
474	7173	7928
475	7188	7913
476	7200	7895
477	7216	7881
478	7227	7861
479	7242	7845
480	7256	7829
481	7271	7814
482	7290	7803
483	7307	7790
484	7323	7776
485	7340	7763
486	7358	7750
487	7372	7735
488	7386	7719
489	7401	7703
490	7432	7704
491	7459	7701
492	7486	7699
493	7504	7686
494	7520	7672
495	7537	7658
496	7559	7650
497	7595	7656
498	7617	7648
499	7630	7630
500	7643	7613
501	7655	7594
502	7670	7579
503	7687	7565
504	7701	7549
505	7717	7534
506	7734	7521
507	7749	7505
508	7765	7490
509	7781	7476
510	7796	7460
511	7807	7441
512	7822	7426
513	7834	7408
514	7848	7391
515	7865	7377
516	7881	7362
517	7895	7347
518	7913	7334
519	7930	7320
520	7945	7304
521	7961	7290
522	7977	7276
523	7992	7260
524	8014	7251
525	8037	7243
526	8060	7234
527	8077	7221
528	8098	7210
529	8123	7204
530	8146	7195
531	8164	7181
532	8178	7166
533	8196	7152
534	8213	7139
535	8229	7123
536	8245	7108
537	8259	7093
538	8273	7076
539	8287	7059
540	8299	7041
541	8314	7025
542	8328	7009
543	8343	6993
